"COU","Ultimate Parent Jurisdiction","JUR","Partner Jurisdiction","PAN","Grouping","CBC","Variable","YEA","Year","Value","Flag Codes","Flags"
"ITA","Italy","SVK","Slovak Republic","PANELAI","Sub-Groups with positive profits","ACT_ADMIN","Administrative, Management or Support Services","2016","2016",8,,
"LUX","Luxembourg","SGP","Singapore","PANELAI","Sub-Groups with positive profits","EMPLOYEES","Number of Employees","2016","2016",2306,,
"MEX","Mexico","MEX","Mexico","PANELAI","Sub-Groups with positive profits","ACT_SER","Provision of Services to Unrelated Parties","2016","2016",193,,
"IND","India","CRI","Costa Rica","PANELAI","Sub-Groups with positive profits","ACT_PUR","Purchasing or Procurement","2016","2016",0,,
"IND","India","ZMB","Zambia","PANELAI","Sub-Groups with positive profits","EARNINGS","Accumulated Earnings","2016","2016",62806080.213,,
"CHL","Chile","AFRIC","Africa","PANELAI","Sub-Groups with positive profits","ACT_PUR","Purchasing or Procurement","2016","2016",0,,
"FRA","France","COL","Colombia","PANELAI","Sub-Groups with positive profits","ASSETS","Tangible Assets other than Cash and Cash Equivalents","2016","2016",2511663468.628,,
"ZAF","South Africa","GHA","Ghana","PANELAI","Sub-Groups with positive profits","ACT_MAN","Manufacturing or Production","2016","2016",5,,
"MEX","Mexico","ITA","Italy","PANELAI","Sub-Groups with positive profits","ACT_MAN","Manufacturing or Production","2016","2016",3,,
"SGP","Singapore","JPN","Japan","PANELAI","Sub-Groups with positive profits","TOT_REV","Total Revenues","2016","2016",939271226,,
"BMU","Bermuda","RUS","Russia","PANELAI","Sub-Groups with positive profits","ACT_PUR","Purchasing or Procurement","2016","2016",1,,
"CHN","China (People's Republic of)","ZMB","Zambia","PANELAI","Sub-Groups with positive profits","TAX_ACCRUED","Income Tax Accrued - Current Year","2016","2016",15640015.099,,
"IDN","Indonesia","NGA","Nigeria","PANELAI","Sub-Groups with positive profits","ACT_ADMIN","Administrative, Management or Support Services","2016","2016",0,,
"ITA","Italy","PHL","Philippines","PANELAI","Sub-Groups with positive profits","ACT_INS","Insurance","2016","2016",4,,
"AUS","Australia","KOR","Korea","PANELAI","Sub-Groups with positive profits","ENTITIES_COUNT","Number of Entities","2016","2016",29,,
"LUX","Luxembourg","BEL","Belgium","PANELAI","Sub-Groups with positive profits","ACT_FIN","Regulated Financial Services","2016","2016",2,,
"IND","India","GUM","Guam","PANELAI","Sub-Groups with positive profits","TAX_ACCRUED","Income Tax Accrued - Current Year","2016","2016",4879.068,,
"DNK","Denmark","TUN","Tunisia","PANELAI","Sub-Groups with positive profits","RPR","Related Party Revenues","2016","2016",2529331,,
"ZAF","South Africa","GGY","Guernsey","PANELAI","Sub-Groups with positive profits","ENTITIES_COUNT","Number of Entities","2016","2016",22,,
"MEX","Mexico","URY","Uruguay","PANELAI","Sub-Groups with positive profits","ACT_FIN","Regulated Financial Services","2016","2016",0,,
"LUX","Luxembourg","GRC","Greece","PANELAI","Sub-Groups with positive profits","ACT_SALES","Sales, Marketing or Distribution","2016","2016",20,,
